callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
564970589,SPXW  220622C04185000,SPXW,0.0000,4185.0,100,425.11,SPXW,SPXW  220622P04185000,564970863,
564970593,SPXW  220622C04190000,SPXW,0.0000,4190.0,100,430.11,SPXW,SPXW  220622P04190000,564970884,
564970613,SPXW  220622C04195000,SPXW,0.0000,4195.0,100,435.11,SPXW,SPXW  220622P04195000,564970894,
564046700,SPXW  220622C04200000,SPXW,0.0000,4200.0,100,440.11,SPXW,SPXW  220622P04200000,564047147,
564970623,SPXW  220622C04205000,SPXW,0.0000,4205.0,100,445.11,SPXW,SPXW  220622P04205000,564970918,
564970634,SPXW  220622C04210000,SPXW,0.0000,4210.0,100,450.11,SPXW,SPXW  220622P04210000,564970924,
564970644,SPXW  220622C04215000,SPXW,0.0000,4215.0,100,455.11,SPXW,SPXW  220622P04215000,564970954,
564970664,SPXW  220622C04220000,SPXW,0.0000,4220.0,100,460.11,SPXW,SPXW  220622P04220000,564970964,
564970675,SPXW  220622C04225000,SPXW,0.0000,4225.0,100,465.11,SPXW,SPXW  220622P04225000,564970989,
564970681,SPXW  220622C04230000,SPXW,0.0000,4230.0,100,470.11,SPXW,SPXW  220622P04230000,564970998,
565701912,SPXW  220622C04235000,SPXW,0.0000,4235.0,100,475.11,SPXW,SPXW  220622P04235000,565701994,
564970699,SPXW  220622C04240000,SPXW,0.0000,4240.0,100,480.11,SPXW,SPXW  220622P04240000,564971023,
565701931,SPXW  220622C04245000,SPXW,0.0000,4245.0,100,485.11,SPXW,SPXW  220622P04245000,565702011,
564813765,SPXW  220622C04250000,SPXW,0.0000,4250.0,100,490.11,SPXW,SPXW  220622P04250000,564813959,
566244136,SPXW  220622C04255000,SPXW,0.0000,4255.0,100,495.11,SPXW,SPXW  220622P04255000,566244161,
564970704,SPXW  220622C04260000,SPXW,0.0000,4260.0,100,500.11,SPXW,SPXW  220622P04260000,564971035,
564970726,SPXW  220622C04270000,SPXW,0.0000,4270.0,100,510.11,SPXW,SPXW  220622P04270000,564971062,
564970738,SPXW  220622C04275000,SPXW,0.0000,4275.0,100,515.11,SPXW,SPXW  220622P04275000,564971065,
565701941,SPXW  220622C04280000,SPXW,0.0000,4280.0,100,520.11,SPXW,SPXW  220622P04280000,565702020,
566244156,SPXW  220622C04290000,SPXW,0.0000,4290.0,100,530.11,SPXW,SPXW  220622P04290000,566244181,
564046712,SPXW  220622C04300000,SPXW,0.0000,4300.0,100,540.11,SPXW,SPXW  220622P04300000,564047157,
565701959,SPXW  220622C04325000,SPXW,0.0000,4325.0,100,565.11,SPXW,SPXW  220622P04325000,565702037,
564970755,SPXW  220622C04350000,SPXW,0.0000,4350.0,100,590.11,SPXW,SPXW  220622P04350000,564971086,
564046717,SPXW  220622C04400000,SPXW,0.0000,4400.0,100,640.11,SPXW,SPXW  220622P04400000,564047162,
564970770,SPXW  220622C04500000,SPXW,0.0000,4500.0,100,740.11,SPXW,SPXW  220622P04500000,564971107,
564046728,SPXW  220622C04600000,SPXW,0.0000,4600.0,100,840.11,SPXW,SPXW  220622P04600000,564047181,
565701974,SPXW  220622C04700000,SPXW,0.0000,4700.0,100,940.11,SPXW,SPXW  220622P04700000,565702047,
564046733,SPXW  220622C04800000,SPXW,0.0000,4800.0,100,"1,040.1",SPXW,SPXW  220622P04800000,564047190,
565701984,SPXW  220622C04900000,SPXW,0.0000,4900.0,100,"1,140.1",SPXW,SPXW  220622P04900000,565702057,
566104174,SPXW  220622C05000000,SPXW,0.0000,5000.0,100,"1,240.1",SPXW,SPXW  220622P05000000,566104186,
568520367,SPXW  220623C01000000,SPXW,"2,759.8",1000.0,100,0.0001,SPXW,SPXW  220623P01000000,568520823,
568520382,SPXW  220623C01200000,SPXW,"2,559.8",1200.0,100,0.0001,SPXW,SPXW  220623P01200000,568520840,
568520390,SPXW  220623C01400000,SPXW,"2,359.8",1400.0,100,0.0001,SPXW,SPXW  220623P01400000,568520857,
568520396,SPXW  220623C01600000,SPXW,"2,159.8",1600.0,100,0.0001,SPXW,SPXW  220623P01600000,568520874,
568520413,SPXW  220623C01800000,SPXW,"1,959.8",1800.0,100,0.0001,SPXW,SPXW  220623P01800000,568520894,
566945745,SPXW  220623C02000000,SPXW,"1,759.8",2000.0,100,0.0001,SPXW,SPXW  220623P02000000,566945964,
566496515,SPXW  220623C02200000,SPXW,"1,559.8",2200.0,100,0.0001,SPXW,SPXW  220623P02200000,566496625,
566496518,SPXW  220623C02400000,SPXW,"1,359.8",2400.0,100,0.0001,SPXW,SPXW  220623P02400000,566496628,
566496521,SPXW  220623C02600000,SPXW,"1,159.8",2600.0,100,0.0001,SPXW,SPXW  220623P02600000,566496635,
566496524,SPXW  220623C02800000,SPXW,959.84,2800.0,100,0.0001,SPXW,SPXW  220623P02800000,566496638,
567267993,SPXW  220623C02900000,SPXW,859.85,2900.0,100,0.0001,SPXW,SPXW  220623P02900000,567268475,
568520420,SPXW  220623C02950000,SPXW,809.85,2950.0,100,0.0001,SPXW,SPXW  220623P02950000,568520919,
566496530,SPXW  220623C03000000,SPXW,759.85,3000.0,100,0.0001,SPXW,SPXW  220623P03000000,566496641,
567268017,SPXW  220623C03050000,SPXW,709.85,3050.0,100,0.0001,SPXW,SPXW  220623P03050000,567268491,
